codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5)._T,N/A,N/A,Total - All activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5)._X,N/A,N/A,Unspecified
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5)._Z,N/A,N/A,Not applicable
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).A,N/A,N/A,"Agriculture, forestry and fishing"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).A_B,N/A,N/A,Total Primary sector
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).A01,N/A,N/A,"Crop and animal production, hunting and related service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).A02,N/A,N/A,Forestry and logging
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).A03,N/A,N/A,Fishing and aquaculture
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).ATS,N/A,N/A,All activities except activities of households as employers; undifferentiated goods- and services-producing activities of households for own use and activities of extraterritorial organisations and bodies
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).ATUXFPRV,N/A,N/A,Activities other than financial and insurance
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).B,N/A,N/A,Mining and quarrying
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).B05,N/A,N/A,Mining of coal and lignite
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).B06,N/A,N/A,Extraction of crude petroleum and natural gas
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).B06_09,N/A,N/A,Extraction of crude petroleum and natural gas; mining support service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).B07,N/A,N/A,Mining of metal ores
